Author,Book_name,Content,Issuiers,Market_Price,Num_Page,Price,Publish_date,Publisher,Status,Weight
Đông Đồng,Để Số Đo Không Là Nỗi Lo - Tại Sao Ăn Ít Mà Vẫn Mập?,Bạn đang cố gắng ăn uống lành mạnh hơn nhưng các con số trên cân không hề giảm?,SkyBooks,96000,256,81500,03/10/2022,NXB Thế Giới,Còn hàng,500
Lê Tuyết Trinh,"Trên Mặt Đất, Qua Bầu Trời: Xây Dựng Cho Trẻ Tình Yêu Thiên Nhiên Và Ý Thức Bảo Vệ Môi Trường","Kiến thức về tự nhiên lồng trong các câu chuyện kể hấp dẫn giúp bạn đọc nhỏ tuổi mở mang và học hỏi một cách chủ động, thích thú.",NXB Kim Đồng,43000,76,36500,27/10/2022,NXB Kim Đồng,Còn hàng,500
Walther Ziegler,Những Nhà Tư Tưởng Lớn - RAWLS Trong 60 Phút,"John Rawls là triết gia lớn về Công bằng. Với thử nghiệm tưởng tượng lừng danh về “cuộc biểu quyết dưới bức màn vô minh”, ông phát triển một phương cách đột phá để tạo lập một xã hội tuyệt đối công bằng.",Văn Lang,88000,150,74500,26/09/2022,NXB Hồng Đức,Còn hàng,400
Walther Ziegler,Những Nhà Tư Tưởng Lớn - SCHOPENHAUER Trong 60 Phút,"Trong tất cả các triết gia, Arthur Schopenhauer là tư tưởng gia bi quan nhất và cũng lỗi lạc nhất. Ông nhận định cuộc sống trên hành tinh này là sự ăn thịt lẫn nhau, ăn và bị ăn. Không phải lý tính, mà chỉ có Ý chí đói khát đang thúc đẩy chúng ta:",Văn Lang,99000,191,84000,26/09/2022,NXB Hồng Đức,Còn hàng,400
Walther Ziegler,Những Nhà Tư Tưởng Lớn - PLATO Trong 60 Phút,"“Hãy nghĩ về cái Chân, cảm nhận cái Đẹp và mong muốn cái Thiện: Chính nơi những điều ấy, tinh thần sẽ nhận ra mục đích của một cuộc đời thuần lý.”",Văn Lang,85000,142,72000,26/09/2022,NXB Hồng Đức,Còn hàng,400
Walther Ziegler,Những Nhà Tư Tưởng Lớn - ARENDT Trong 60 Phút,"Cho đến ngày hôm nay, Arendt đã từng làm dấy lên một chấn động mang tính toàn cầu với sự khám phá của bà về “sự thống trị của vô danh” và về “sự tầm thường của cái ác”. Trong xã hội quần chúng hiện đại, theo Arendt, chúng ta quá ưa thích tuân phục các quyền bính và không còn biết nhận lãnh trách nhiệm nào nữa của mình. Và đó cũng là trường hợp của viên chức Đức quốc xã Eichmann, kẻ chỉ bởi mệnh lệnh công vụ đã tổ chức việc chuyên chở bằng tàu lửa cho hàng triệu người đến các trại tập trung. Arendt đã có mặt trong vụ án tội phạm chiến tranh của ông và nhìn nhận rằng: Eichmann không hề là một con quái vật quỷ dữ, như nhiều người nghĩ tưởng.",Văn Lang,88000,150,74500,26/09/2022,NXB Hồng Đức,Còn hàng,400
Michel Bussi,Mã 612: Ai Đã Giết Hoàng Tử Bé,“Con mắt thường luôn mù lòa trước điều cốt tử.”,Nhã Nam,125000,283,106000,14/10/2022,NXB Hội Nhà Văn,Còn hàng,550
Tri Thức Việt,Bí Quyết Kinh Doanh Của Người Do Thái (Tái Bản 2022),"Không phải vô cớ mà người Do Thái được ca tụng như vậy. Hơn 2.000 năm sống phiêu bạt khắp nơi, người Do Thái đã tích lũy cho mình rất nhiều tri thức về thương trường thế giới.",Văn Lang,98000,223,83000,05/10/2022,NXB Thanh Hóa,Còn hàng,500
Joshua Pearl,The Little Book - Quản Trị Rủi Ro Trong Đầu Tư Chứng Khoán,"Đầu tư cổ phiếu đang phổ biến hơn bao giờ hết, dù trực tiếp hay gián tiếp thông qua các tài khoản môi giới, quỹ đầu tư (ETF), quỹ tương hỗ hoặc là tài khoản hưu trí. Mặc dù vậy, phần lớn các nhà đầu tư cá nhân không được đào tạo về cách chọn cổ phiếu, chưa nói đến kiến thức cơ bản về tài chính.",1980 Books,189000,380,160500,11/10/2022,NXB Dân Trí,Còn hàng,500
Hyunjeong Yoo,101+ Mẹo Sinh Tồn Với Tiếng Anh,"Tiếng Anh len lỏi trong mọi ngóc ngách của cuộc sống thường nhật, trong khi bạn vẫn nghĩ tiếng Anh khó?",AZ Việt Nam,269000,336,228500,20/09/2022,NXB Thế Giới,Còn hàng,650
Lưu Khánh Thơ,Trong Đáy Mắt Trời Xanh Là Vĩnh Viễn,"""",Nhã Nam,155000,302,131500,07/10/2022,NXB Hội Nhà Văn,Còn hàng,500
Misaki Ichijo,Đêm Nay Dẫu Tình Yêu Này Biến Mất Khỏi Thế Gian,"“Không được đâu. Tớ… bị mắc một căn bệnh, gọi là chứng quên thuận chiều. Sau mỗi đêm đi ngủ, tớ sẽ lại quên hết tất cả những gì đã xảy ra ngày hôm đó.”",AZ Việt Nam,129000,352,109500,06/10/2022,NXB Dân Trí,Còn hàng,500
John Koenig,Từ Điển Của Những Nỗi Buồn Không Tên,- Cái này tùy thuộc vào bạn thôi. Chỉ khi bạn muốn một từ có thật thì nó mới có thể trở thành thật.”,AZ Việt Nam,129000,328,109500,22/09/2022,NXB Thế Giới,Còn hàng,550
Lý Cư Minh,Giải Mã Những Bí Ẩn Trên Bàn Tay Con Người - Đời Người Trên Bàn Tay (Tái Bản 2022),"Tôi nghiên cứu tướng tay đã nhiều năm, nhưng không nghĩ sẽ viết thành sách. Sau khi kết thúc khoá học, những người theo họclớp xem tướng mặt còn muốn tìm hiểu thêm về tướng tay, họ đều cho rằng, tướng tay và tướng mặt cần được bù đắp qua lại, bổ sung cho nhau.",Văn Lang,88000,230,74500,03/10/2022,NXB Hồng Đức,Còn hàng,500
Cressida Cowell,Pháp Sư Xứ Anh,“Người đọc sẽ chết mê thế giới tưởng tượng sáng tạo và những câu thoại dí dỏm. Một cuộc phiêu lưu vui nhộn ầm ĩ đầy phép nhiệm mầu.”,Nhã Nam,150000,396,127500,14/10/2022,NXB Hội Nhà Văn,Còn hàng,650
Chan Ho Kei,Người Bóng Bay,"Một ngày nọ, phát hiện mình sở hữu dị năng, gã nhân viên công ty tổ chức tiệc quyết định chuyển sang hành nghề sát thủ dưới biệt danh",Nhã Nam,189000,484,160500,01/10/2022,NXB Hà Nội,Còn hàng,600
Walther Ziegler,Những Nhà Tư Tưởng Lớn - CAMUS Trong 60 Phút,"Triết gia hiện sinh Camus so sánh cuộc sống con người với câu chuyện thần thoại về Sisyphus. Nhân vật này nỗ lực không mệt mỏi để đẩy một quả cầu bằng đá lên dốc núi, mặc dù nó cứ bị liên tục lăn trở lại xuống dưới. Nhưng chính hành động tưởng như vô nghĩa này lại chứa đựng cơ may của một cuộc sống viên mãn. Cả cuộc đời mình, Camus luôn tìm cách tiết lộ cho chúng ta, cách làm thế nào để có thể chung sống với sự phi lý.",Văn Lang,68000,112,57500,07/10/2022,NXB Hồng Đức,Còn hàng,400
Walther Ziegler,Những Nhà Tư Tưởng Lớn - KONFUZIUS Trong 60 Phút,"Khổng Tử là triết gia có ảnh hưởng lớn nhất trong lịch sử tinh thần ở Đông Á. Tên tuổi và tư tưởng của ông được biết đến trên cả thế giới. Cách đây 2,500 năm, ông. đã nêu lên câu hỏi mang tính quyết định và nó vẫn khiến chúng ta bận tâm cho đến ngày hôm nay: Làm sao tôi có thể tìm ra ""Đạo"", con đường đúng đắn, trong đời tôi? Làm sao tôi có thể sống hài hòa với bạn bè, gia đình, xã hội và với chính tôi? Và khi nào thì tôi phải phản kháng?",Văn Lang,105000,200,89000,07/10/2022,NXB Hồng Đức,Còn hàng,400
Minh Đào,"Rồi Cũng Sẽ Qua - Về Hi Vọng, Sự Vượt Qua Và Những Gì Còn Ở Lại","Bạn cũng sẽ thấy, trong suốt tác phẩm, tôi nói rất nhiều về sự không thể. Không thể quên, không thể cố gắng, không thể vượt qua, không thể kết nối... Chỉ những gì bất khả mới tạo cảm giác gây nghiện. Nó ta khiến ta muốn chinh phục, khiến ta ám ảnh và khiến ta không ngừng nghĩ về. Nó tạo ra sự bế tắc và những con đường cùng.",NXB Trẻ,95000,200,80500,07/10/2022,NXB Trẻ,Còn hàng,500
Walther Ziegler,Những Nhà Tư Tưởng Lớn - HOBBES Trong 60 Phút,“,Văn Lang,68000,112,57500,07/10/2022,NXB Hồng Đức,Còn hàng,400
Walther Ziegler,Những Nhà Tư Tưởng Lớn - ADORNO Trong 60 Phút,"Adorno cho đến ngày hôm nay là một trong những nhà tư tưởng thông thái và thiên bẩm nhất trong lịch sử triết học. “Lý thuyết Phê phán” về xã hội của ông vừa cấp tiến vừa kích động. Theo Adorno, tất cả chúng ta đang sống trong một thế giới hoàn toàn bị chủ nghĩa tư bản thao túng. Thời đại Khai minh với hy vọng lớn về tiến bộ và giải phóng đã bị lộn ngược.",Văn Lang,80000,135,68000,07/10/2022,NXB Hồng Đức,Còn hàng,400
Matt Burgess,Netflix Từ Cú Lật Đổ Hollywood Đến Đế Chế Phim Thống Trị Toàn Cầu,Cuốn sách có gì đặc biệt,Alpha Books,399000,168,339000,20/10/2022,NXB Công Thương,Còn hàng,500
Ian Tuhovsky,Khám Phá Tâm Lý Học Giao Tiếp,"Thấu hiểu bản đồ tinh thần, tâm lý của bản thân và người khác",Văn Lang,105000,272,89000,20/10/2022,NXB Thanh Hóa,Còn hàng,500
Lyz Cooper,Chữa Lành Bằng Âm Thanh,"Với nhiều thông tin và bài tập hữu ích, được trình bày một cách ngắn gọn và dễ hiểu,",Văn Lang,85000,248,72000,20/10/2022,NXB Hồng Đức,Còn hàng,500
Sonia Ducie,Khám Phá Thần Số Học Bí Truyền,"Chứa đựng nhiều thông tin và ví dụ hữu ích,",Văn Lang,88000,264,74500,20/10/2022,NXB Hồng Đức,Còn hàng,500
Jeanette Winterson,Cam Không Phải Loại Quả Duy Nhất,"Ở tuổi mười sáu, Jeanette quyết định rời xa nhà thờ, rời bỏ ngôi nhà và gia đình thân yêu của cô, tất cả vì cô gái mà cô đem lòng yêu da diết.",1980 Books,179000,356,152000,25/10/2022,NXB Thanh Niên,Còn hàng,600
Tom Fortes Mayer,Liệu Pháp Thôi Miên,"Chứa đựng nhiều thông tin và bài tập hữu ích,",Văn Lang,80000,240,68000,20/10/2022,NXB Hồng Đức,Còn hàng,500
Steve Leder,Vẻ Đẹp Của Những Điều Còn Lại,"Theo y học, chết hay qua đời thông thường được xem là sự chấm dứt vĩnh viễn mọi hoạt động sống của một cá nhân. Tuy nhiên, định nghĩa của sự chết còn tùy thuộc vào các quan điểm khác tôn giáo, tín ngưỡng cũng như các lĩnh vực liên quan.",Saigon Books,160000,268,136000,30/10/2022,NXB Thế Giới,Còn hàng,500
Nguyễn Hồng Chiến,Chuồn Chuồn Ớt Tìm Mẹ,Một cơn gió thoảng qua và có tiếng reo vang lên:,NXB Kim Đồng,67000,120,56500,06/11/2022,NXB Kim Đồng,Còn hàng,300
Deer Tarot,Bộ Bài Deer’s Tarot - Kèm Sách Hướng Dẫn,"“Những lá bài phản chiếu tâm thức của bạn ở thực tại, chúng không định sẵn tương lai của bạn.”- Deer Tarot.",AZ Việt Nam,420000,250,357000,20/10/2022,NXB Thế Giới,Còn hàng,500
Sun Hwa Oh,Người Dẫn Lối Cảm Xúc,,Thái Hà,179000,248,152000,25/10/2022,NXB Lao Động,Còn hàng,500
Nikolay Nosov,Nikolay Nosov: 11 Truyện Vui Nhộn Rộn Ràng,,NXB Kim Đồng,150000,176,127500,06/11/2022,NXB Kim Đồng,Còn hàng,300
Lê Minh Hà,Đặc Sản Thời Yêu,Có những giọng nói rủ rỉ hoài trong trí.,NXB Kim Đồng,69000,224,58500,06/11/2022,NXB Kim Đồng,Còn hàng,500
E.F. Schumacher,Nhỏ Là Đẹp,"Được vinh danh vào danh sách 100 cuốn sách gây ảnh hưởng nhất kể từ Chiến tranh thế giới lần thứ hai của Tạp chí Văn học Thời đại, “",Thái Hà,169000,392,143500,05/10/2022,NXB Công Thương,Còn hàng,650
Vegan Q - Quỳnh ăn chay,Ăn Dặm Sạch Sành Sanh,Là người hoạt động tích cực để lan toả ăn chay đến cộng đồng.,Thái Hà,269000,224,228500,29/10/2022,NXB Công Thương,Còn hàng,500
James Vollbracht,Khu Vườn Của Mi-San,Nơi đây lạnh lẽo quá nên chẳng có gì tốt lành có thể mọc lên được. Cô bé Mi-San luôn mơ về một khu vườn nở rộ phía sau ngôi nhà của cha mình…,Thái Hà,55000,36,46500,29/10/2022,NXB Công Thương,Còn hàng,100
Aldous Huxley,Thế Giới Mới Nhiệm Màu,"Liệu sẽ không còn nữa những tác phẩm nghệ thuật được viết ra từ nỗi đau và tình cảm mãnh liệt, khi mà con người trong thế giới mới mải đắm chìm trong phim ảnh gợi dục?",1980 Books,189000,392,160500,29/10/2022,NXB Thanh Niên,Còn hàng,650
Frank Martela,A Wonderful Life - Đi Tìm Ý Nghĩa Cuộc Sống,Hạnh phúc có phải là một mục tiêu xứng đáng không?,AZ Việt Nam,99000,200,84000,24/10/2022,NXB Thanh Niên,Còn hàng,500
Tôn Tần,Đau - Sự Cứu Rỗi Nơi Tận Cùng Đau Thương,Bạn còn nhớ lần gần đây nhất bạn đau đớn đến mức tột cùng là vì chuyện gì không?,AZ Việt Nam,152000,384,129000,25/10/2022,NXB Thanh Niên,Còn hàng,650
Vĩ Ngư,Chuông Gió - Tập 4,"Để khiến Quý Đường Đường lộ diện, Tần Thủ Nghiệp đã vạch ra một kế hoạch tàn độc nhằm dẫn dụ cô từng bước rơi vào chiếc bẫy mà ông ta đã dày công chuẩn bị. Ông ta chỉ không ngờ mưu tính tưởng như rất hoàn hảo ấy của mình thế mà lại đổ sông đổ bể chỉ vì sự xuất hiện của Nhạc Phong.",AZ Việt Nam,174000,464,147500,24/10/2022,NXB Thanh Niên,Còn hàng,500
Vĩ Ngư,Chuông Gió - Tập 3,"Trong giấc ngủ chập chờn ở bến xe thành cổ, Quý Đường Đường mơ thấy một người phụ nữ bị giết ở thành phố ma Yardang. Thông qua đôi mắt của người chết, cô thấy rõ cánh tay đang lôi kéo mình mọc đầy lông đen rậm rạp, giữa những sợi lông hiện lên một hình xăm màu mè. Đó là hình xăm Phi Thiên.",AZ Việt Nam,174000,464,147500,15/09/2022,NXB Thanh Niên,Còn hàng,500
Yoshichi Shimada,Người Bà Tài Giỏi Vùng Saga - Tập 9,"Thời gian thấm thoắt trôi qua, Akihiro ở Saga với bà ngoại, với Nanri và các bạn tuy vẫn nghèo nhưng lúc nào cũng đầy niềm vui.",SkyBooks,52000,194,44000,22/10/2022,NXB Phụ Nữ Việt Nam,Còn hàng,250
Harvard Business Review Press,HBR On - Chiến Lược Số Trong Kỷ Nguyên Kết Nối,Các nội dung cơ bản trong cuốn sách:,Alpha Books,269000,160,228500,26/10/2022,NXB Thông tin và Truyền thông,Còn hàng,400
Magnus Weightman,Lênh Đênh Theo Dòng Xanh,,NXB Kim Đồng,78000,32,66000,26/08/2022,NXB Kim Đồng,Còn hàng,300
Nguyễn Trí,Chuyến Du Hành Xanh Biếc,"Hãy lên xe honda, rời nơi đô thị đông đúc để tới làng quê thôn dã ngắm nhìn rặng cây, bờ cỏ, đập nước, ruộng dưa, lễ hội ngày Tết cùng những trò chơi dân gian...",NXB Kim Đồng,32000,148,27000,22/08/2022,NXB Kim Đồng,Còn hàng,500
Trần Tùng Chinh,Ba Trái Tim Của Bé Bạch Tuộc,“,NXB Phụ Nữ,57000,100,48000,28/10/2022,NXB Phụ Nữ,Còn hàng,300
Hajime Kamoshida,Hội Chứng Tuổi Thanh Xuân - Tập 8,"Mai nay đã là học sinh cuối cấp, thời gian Sakuta được ở bên cô tại trường Minegahara cũng chẳng còn nhiều. Trong hoàn cảnh đó, cô em gái yêu nhà vô đối Kaede của cậu lại bất ngờ thổ lộ tâm tư cô bé chưa từng kể với ai.",NXB Kim Đồng,105000,344,89000,28/10/2022,NXB Kim Đồng,Còn hàng,500
Endou Asari,Ma Pháp Thiếu Nữ - Tập 2+3,"Dưới những luật lệ tàn nhẫn của trò chơi, các cô gái lần lượt lạc lối, chiến đấu và bỏ mạng. Ai là người họ phải cảnh giác? Là Master giấu mặt? Hay là đồng đội phía sau lưng? Khi những ma pháp mạnh mẽ vô song chĩa mũi nhọn vào nhau, một nạn nhân khác lại xuất hiện…",AZ Việt Nam,325000,752,276000,27/10/2022,NXB Phụ Nữ Việt Nam,Còn hàng,850
Cao Chi,Vũ Trụ Đột Sinh - Bức Tranh Toàn Cảnh Về Vật Lý Hiện Đại,"""Cuốn sách Vũ trụ đột sinh đề cập tới hầu hết các vấn đề thời sự của Vật lý hiện đại, được trình bày nhất quán như một cuốn sách hoàn chỉnh nhưng cũng có thể coi nó như một cuốn từ điển mà bạn có thể tra cứu gần như bất cứ vấn đề gì của Vật lý hiện đại mà bạn cảm thấy khúc mắc khi đọc những tài liệu khác.",Nhã Nam,350000,386,297500,28/10/2022,NXB Tri Thức,Hết hàng,850
Tư Mã Thiên,Sử ký: Bản kỷ - Biểu,"Bản kỷ là phần đầu tiên của Sử ký, gồm cả thảy mười hai thiên, chép việc từ thời Ngũ Đế cho  tới  thời Hán  Vũ  Đế. Về ý nghĩa của từ “bản kỷ”, đại để có thể hiểu bản tức là căn bản, kỷ tức là kỷ cương, cái kỷ cương căn bản nằm ở người nắm chính lệnh, cho nên Bản kỷ là sự ghi chép về những người nắm giữ chính lệnh trong thiên hạ, thường là các bậc Đế, Vương.",Đinh Tị,399000,720,339000,25/10/2022,NXB Văn Học,Còn hàng,870
Štěpánka Sekaninov,Khổng Lồ Mở Ra Thế Giới Bí Ẩn Dưới Lòng Đất,"Nếu bạn  nghĩ rằng dưới lòng đất chỉ toàn đất đá tối đen và chẳng có gì thú vị, thì bạn nhầm rồi nhé! Ở dưới đó dù có đủ thứ ấy chứ. Nào là rể cây, chuột chũi, giun, hang động, dầu mỏ, than đá, những người thợ cần mẫn làm việc và khai thác khoáng sản để phục vụ cuộc sống của chúng ta. Thậm chí, mọi người còn sinh hoạt, mua sắm, các vận động viên tập luyện và bơi lội dưới lòng đất nữa đấy. Cuộc sống ở đó không hề buồn tẻ chút nào.",Đinh Tị,100000,48,85000,25/10/2022,NXB Thanh Niên,Còn hàng,198
Tanizaki Junichiro,Truyện Dài Tanizaki,"Tôn thờ mỹ học Nhật bản truyền thống, nhưng",Tao Đàn,168000,280,142500,01/08/2022,NXB Hội Nhà Văn,Còn hàng,320
Phòng biên tập Tân Nhã,Dạy Trẻ Kỹ Năng An Toàn -  Nước Sâu Đừng Có Đến Gần Nghe Con,Bộ sách,Đinh Tị,70000,32,59500,02/11/2022,NXB Thanh Niên,Còn hàng,150
Phòng biên tập Tân Nhã,Dạy Trẻ Kỹ Năng An Toàn - Con Yêu Nhớ Giữ An Toàn,Hãy dạy cho con trẻ biết cách giữ an toàn!,Đinh Tị,70000,32,59500,02/11/2022,NXB Thanh Niên,Còn hàng,150
Thomas A. Harris MD,Tôi ổn - Bạn ổn,“Tôi ổn - Bạn ổn”,FIRST NEWS,228000,464,193500,03/11/2022,NXB Dân Trí,Còn hàng,500
Leonard Mlodinow,Khoa Học Khám Phá - Cầu Vồng Của Feynman: Một Cuộc Tìm Kiếm Vẻ Đẹp Trong Vật Lý Và Trong Cuộc Sống,"Sau khi nhận bằng tiến sĩ, Leonard Mlodinow được mời đến làm việc và nghiên cứu postdoc tại viện công nghệ Caltech. Dù nhận được sự ưu ái rất lớn do thành tích của mình, nhưng Mlodinow lại choáng ngợp, mất phương hướng khi tự đặt mình vào sự kỳ vọng lớn đó, cũng như tự ti trước những người khổng lồ vật lý trong Caltech. Đang khi hoang mang, anh đã may mắn được quen biết nhà vật lý vĩ đại Richard Feynman, và nhận được rất nhiều lời khuyên bổ ích từ ông để định hướng công việc tương lai và lấy lại sự tự tin, để rồi về sau, dù không có nhà vật lý vĩ đại Leonard Mlodinow, nhưng lại có đồng tác giả với Stephen Hawking của cuốn sách Bản thiết kế vĩ đại, cùng vô số những cuốn sách nổi tiếng khác, chuyển tiếp cảm hứng khoa học và tình yêu cuộc sống của Feynman đến với mọi người. Tất cả bắt đầu từ những cuốn sách của Feynman mà Mlodinow đã đọc được khi còn là sinh viên, khởi đầu đưa ông vào thế giới vật lý.",NXB Trẻ,110000,224,93500,11/11/2022,NXB Trẻ,Còn hàng,500
Brendon Burchard,6 Thói Quen Của Người Làm Việc Hiệu Suất Cao,- Tìm kiếm sự sáng suốt,1980 Books,249000,480,211500,22/11/2022,NXB Công Thương,Còn hàng,750
Nhiều Tác Giả,The Design Thinking Life Playbook: Tư Duy Thiết Kế Ứng Dụng Trong Cuộc Sống,Phần thứ hai,Alphabooks,299000,220,254000,01/11/2022,NXB Công Thương,Còn hàng,600
Carlo Batà,Những Bài Diễn Văn Làm Thay Đổi Thế Giới Từ 1945 Đến Nay,Gieo,NXB Kim Đồng,340000,208,289000,04/11/2022,NXB Kim Đồng,Còn hàng,"1,010"
Manuel Duboe,Nói Đủ Rồi Làm,"Nói đủ rồi, làm thôi!",Cty Văn Hóa Văn Lang,75000,197,63500,01/11/2022,NXB Thanh Hóa,Còn hàng,200
Từ Gia,Khỏi Bệnh Không Cần Thuốc,"Đối với nhiều người, ăn uống là việc rất cảm tính và cá nhân. Nhưng một khi ăn sai, cơ thể của chúng ta sẽ gặp vấn đề. Trong một xã hội hiện đại với tỷ lệ mắc các bệnh mạn tính cao thì một chế độ ăn uống khoa học, hợp lý là đặc biệt quan trọng.",Huy Hoang Bookstore,218000,580,185000,29/11/2022,NXB Dân Trí,Còn hàng,800
Tô Hoài,Thành Phố Gương Mặt Con Người,"Nhà văn Tô Hoài tên thật là Nguyễn Sen. Sinh ngày 27 tháng 9 năm 1920 tại Nghĩa Đô, Từ Liêm, Hà Nội. Ông tham gia cách mạng từ trước 1945 trong Hội Ái hữu Công nhân, Hội Văn hóa Cứu quốc. Ông từng làm phóng viên rồi làm Chủ nhiệm báo Cứu quốc Việt Bắc. Năm 1957-1958 ông làm Tổng Thư ký Hội Nhà văn Việt Nam, sau đó làm Phó Tổng Thư ký trong nhiều năm. Từ 1986 - 1996 ông làm Chủ tịch Hội Văn nghệ Hà Nội. Ông viết hơn trăm tác phẩm với nhiều thể loại khác nhau: bút ký, truyện ngắn, tiểu thuyết, kịch bản phim, chân dung, tiểu luận… Tác phẩm được nhiều thế hệ độc giả yêu thích nhất là tập truyện thiếu nhi Dế Mèn phiêu lưu ký. Ông mất ngày 6 tháng 7 năm 2014 tại Hà Nội",NXB Kim Đồng,70000,228,59500,30/11/2022,NXB Kim Đồng,Còn hàng,500
Tô Hoài,Giữ Gìn 36 Phố Phường,"Nhà văn Tô Hoài tên thật là Nguyễn Sen. Sinh ngày 27 tháng 9 năm 1920 tại Nghĩa Đô, Từ Liêm, Hà Nội. Ông tham gia cách mạng từ trước 1945 trong Hội Ái hữu Công nhân, Hội Văn hóa Cứu quốc. Ông từng làm phóng viên rồi làm Chủ nhiệm báo Cứu quốc Việt Bắc. Năm 1957-1958 ông làm Tổng Thư ký Hội Nhà văn Việt Nam, sau đó làm Phó Tổng Thư ký trong nhiều năm. Từ 1986 - 1996 ông làm Chủ tịch Hội Văn nghệ Hà Nội. Ông viết hơn trăm tác phẩm với nhiều thể loại khác nhau: bút ký, truyện ngắn, tiểu thuyết, kịch bản phim, chân dung, tiểu luận… Tác phẩm được nhiều thế hệ độc giả yêu thích nhất là tập truyện thiếu nhi Dế Mèn phiêu lưu ký. Ông mất ngày 6 tháng 7 năm 2014 tại Hà Nội",NXB Kim Đồng,65000,200,55000,30/11/2022,NXB Kim Đồng,Còn hàng,500
Chúp Chúp,Nơi Ta Thuộc Về,"“Tàn độc”, “hung bạo”, “ích kỉ”…? Hoàn toàn có thể.",NXB Kim Đồng,110000,200,93500,01/12/2022,NXB Kim Đồng,Còn hàng,500
Phương Vi,Nhà Có Hai Mẹ Con,Đâu cũng là nhà mình.,NXB Kim Đồng,42000,136,35500,01/12/2022,NXB Kim Đồng,Còn hàng,300
Wim Hof,Trị Liệu Bằng Nước Đá,Phương pháp Wim Hof là gì?,Saigon Books,200000,320,170000,30/11/2022,NXB Thế Giới,Còn hàng,600
Phạm Minh Thảo,Kiêng Và Cấm Kỵ Của Người Việt Xưa Và Nay,"Quan niệm Kiêng và Cấm kỵ của người Việt chắc hẳn hình thành từ thời xa xưa, khi người Việt trải qua bao cuộc vật lộn sinh tồn, đã đúc rút được nhiều kinh nghiệm và cả những may rủi mà họ không sao giải thích được. Ẩn hiện qua tín ngưỡng, tâm lý, hiện hình thành những quy định trong phong tục, tập quán và tồn tại với một sức sống dai dẳng đến kỳ lạ, Kiêng và Cấm kỵ thể hiện một biểu trưng của văn hóa tộc người, là một tất yếu mang đậm dấu ấn của một dân tộc sống bằng nghề nông, phải trải qua nhiều cuộc chinh chiến chống ngoại xâm và chịu ảnh hưởng không nhỏ của nước láng giềng Trung Quốc.",NXB Tổng Hợp TPHCM,882000,224,82000,01/11/2022,NXB Tổng Hợp TPHCM,Còn hàng,280
ThS Nguyễn Thị Thu Hằng ThS Trương Gia Quyền,Thực Hành Tiếng Trung Hiệu Quả - Trình Độ Trung Cấp,"Ai cũng biết học để tiến bộ, nhưng tiến bộ để làm gì? Nếu động lực học là để thể hiện bản lĩnh, thái độ ấy sẽ cản trở việc học trước tiên. Điều này các nhà giáo dục từ xưa đã dạy, nhưng trong thế giới hiện đại, vẫn là nền tảng vững chắc: đạo đức phải đi trước tài năng. Học để đưa xã hội cùng đi lên với mình, chứ không phải để đánh bại xã hội.",NXB Tổng Hợp TPHCM,109000,236,92500,04/11/2022,NXB Tổng Hợp TPHCM,Còn hàng,Đang
Alistair Butcher,Siêu Thông Minh Trong Khoa Học (4 quyển),"Sách phù hợp với nhóm tuổi 10+, đam mê khoa học và tò mò về những bộ môn khoa học mới mẻ của tương lai.",NXB Kim Đồng,160000,32,136000,15/11/2022,NXB Kim Đồng,Còn hàng,300
Trần Huy,Gấu Anh - Gấu Em - Tập 3 - Tại Anh Không Cẩn Thận!,Về tác giả:,NXB Kim Đồng,30000,28,25500,20/11/2022,NXB Kim Đồng,Còn hàng,105
Trần Huy,Gấu Anh - Gấu Em - Tập 2 - Ngủ Một Mình!,,NXB Kim Đồng,30000,28,25500,20/11/2022,NXB Kim Đồng,Còn hàng,105
Trần Huy,Gấu Anh - Gấu Em - Tập 4 - Quả Thông Đâu Rồi Nhỉ!,Về tác giả:,NXB Kim Đồng,30000,28,25500,20/11/2022,NXB Kim Đồng,Còn hàng,105
Trần Huy,Gấu Anh - Gấu Em - Tập 7 - Tớ Không Đi Đâu,Về tác giả:,NXB Kim Đồng,30000,28,25500,20/11/2022,NXB Kim Đồng,Còn hàng,105
Trần Huy,Gấu Anh - Gấu Em - Tập 1 - Chào Em Gái Nhỏ!,,NXB Kim Đồng,30000,28,25500,20/11/2022,NXB Kim Đồng,Còn hàng,105
Trần Huy,Gấu Anh - Gấu Em - Tập 5 - Lần Đầu Qua Sông,Về tác giả:,NXB Kim Đồng,30000,28,25500,20/11/2022,NXB Kim Đồng,Còn hàng,105
Trần Huy,Gấu Anh - Gấu Em - Tập 6 - Một Sáng Mùa Xuân,Về tác giả:,NXB Kim Đồng,30000,28,25500,20/11/2022,NXB Kim Đồng,Còn hàng,105
Trần Huy,Gấu Anh - Gấu Em - Tập 8 - Đi Tìm Mẹ,Về tác giả:,NXB Kim Đồng,30000,28,25500,20/11/2022,NXB Kim Đồng,Còn hàng,105
