Author,Book_name,Content,Issuiers,Market_Price,Num_Page,Price,Publish_date,Publisher,Status,Weight
Tomoe Ishizumi,Al Chuyện Chưa Kể,"“Tôi muốn biết công việc và sự nghiệp của mình sẽ thay đổi như thế nào nếu ứng dụng AI”, một doanh nhân bày tỏ.",Thái Hà,109000,268,92500,10/01/2023,NXB Công Thương,Còn hàng,300
Ruth Wielockx,Một Ngày Của Phi Công,Chào mừng các bạn đến với sân bay của Phi công Pete!,NXB Kim Đồng,38000,28,32000,30/01/2023,NXB Kim Đồng,Còn hàng,120
Phạm Hồng Tuyến,Bài Hát Lớn Lên Cùng Con,"“Mỗi bài hát là nỗi nhớ, là tình thương, là niềm vui, là niềm tự hào... Và chính đó là Hồi ức tuổi thơ, những mảnh ghép quý giá trong quá khứ đã theo tôi mãi suốt cuộc đời.” Phạm Hồng Tuyến",NXB Kim Đồng,50000,144,42500,17/02/2023,NXB Kim Đồng,Còn hàng,500
Hugh Lofting,Những Cuộc Phiêu Lưu Của Bác Sĩ Dolittle,(14/1/1886 – 26/9/1947),NXB Kim Đồng,45000,152,38000,30/01/2023,NXB Kim Đồng,Còn hàng,200
Mỹ Linh,Kính Vạn Hoa Thiên Nhiên - Hãy Ngắm Nhìn Tớ Nữa!,,NXB Kim Đồng,30000,28,25500,08/01/2023,NXB Kim Đồng,Còn hàng,90
Giai Phần,Kính Vạn Hoa Thiên Nhiên - Cuộc Thi Ở Làng Nấm,,NXB Kim Đồng,30000,28,25500,08/01/2023,NXB Kim Đồng,Còn hàng,90
Vương Nguyên Dung,Kính Vạn Hoa Thiên Nhiên - Nhổ Củ Cải,,NXB Kim Đồng,30000,28,25500,08/01/2023,NXB Kim Đồng,Còn hàng,90
Vương Nguyên Dung,Kính Vạn Hoa Thiên Nhiên - Muỗi Con Trốn Học,,NXB Kim Đồng,30000,28,25500,08/01/2023,NXB Kim Đồng,Còn hàng,90
Uyển Linh,Kính Vạn Hoa Thiên Nhiên - Chim Sẻ Vô Tội,,NXB Kim Đồng,30000,28,25500,08/01/2023,NXB Kim Đồng,Còn hàng,90
Mỹ Linh,Kính Vạn Hoa Thiên Nhiên - Sóc Con Qua Đường,,NXB Kim Đồng,30000,28,25500,08/01/2023,NXB Kim Đồng,Còn hàng,90
Vương Nguyên Dung,Kính Vạn Hoa Thiên Nhiên - Ta Là Số Một!,Em biết gì về chim sẻ - loài chim bé nhỏ đáng yêu thường nhìn thấy quanh ta?,NXB Kim Đồng,30000,28,25500,08/01/2023,NXB Kim Đồng,Còn hàng,90
